user_id,empirical_ranking_pct
735199305502461952,0.014
2943549147,0.882
918212762727092224,0.636
1240284072,0.332
751375537713602560,0.016
1069640802157109249,0.904
754957,0.506
1102418816011722752,0.138
983895014,0.182
1080095859302313984,0.298
72769526,0.608
2266500054,0.168
373382787,0.994
908719194899865601,0.116
82836536,0.392
1182380935142088707,0.396
17097964,0.226
269082087,0.53
3301602322,0.754
26630225,0.81
359092707,0.304
478352623,0.206
2998017541,0.354
742690606560870400,0.814
911302788033822720,0.382
282943658,0.204
2573730586,0.798
1158199849013170177,0.51
1361036876,0.694
197811700,0.986
555593437,0.95
328261812,0.65
3206710115,0.892
45135501,0.702
52277020,0.426
1148130336645140482,0.372
1182826257672622080,0.942
242397440,0.526
813296683777949697,0.964
1210349048064102407,0.106
239591188,0.996
114618785,0.802
3340575448,0.462
417010727,0.652
3273439296,0.402
2573846823,0.144
811013510,0.438
588931901,0.92
47513093,0.936
984794552794886144,0.534
274858539,0.808
798677491015684096,0.766
101474478,0.254
19145653,0.4
79825523,0.18
67278150,0.546
1108661487797596160,0.248
1203970073913786368,0.064
893526184423604224,0.198
4874025263,0.498
1238403476,0.612
1132896140,0.486
837362148,0.654
738806254148177920,0.978
1055938905000816641,0.502
1120845638936064000,0.314
1118730670166216711,0.026
189806241,0.416
28969084,0.84
1078191404,0.832
1207370512134897664,0.406
81492958,0.74
830683665831059460,0.542
23133309,1
2786200059,0.184
1202087437931106304,0.212
2958879339,0.806
885112006818369536,0.446
36438481,0.966
1071286704655392770,0.412
2495829487,0.176
1045424510353182727,0.656
2224376731,0.842
1104799832634343424,0.232
2564480540,0.424
805487221155491844,0.57
211696373,0.93
599148732,0.72
851589999116070912,0.24
390769613,0.87
838137955038306305,0.306
2967867342,0.792
21475927,0.962
1214956919573663744,0.722
838538101203009537,0.136
822942612168458241,0.044
1183659662945615872,0.582
3376618858,0.556
21992599,0.744
22753081,0.668
1213732790975336448,0.508
44587814,0.41
3432068349,0.594
568737550,0.776
19765012,0.756
717907687371972609,0.36
1057407795757109249,0.384
3288601627,0.714
1198842699304128512,0.678
942746554628055041,0.334
85251938,0.234
806277884172062720,0.466
943406261084684288,0.728
605042639,0.872
2926918797,0.642
95319401,0.85
561881996,0.63
622900716,0.156
15307415,0.624
350683618,0.258
254918117,0.944
3940796477,0.924
2835582778,0.764
418440023,0.276
788532739288866820,0.03
249248140,0.62
2537948292,0.998
720058708131213312,0.856
48537030,0.94
45450889,0.99
1212993034733809664,0.094
869279012698193920,0.152
730349065582448640,0.33
777515322962083840,0.366
1620404718,0.47
1647317240,0.658
703201298410123264,0.252
44763657,0.586
913648276431265792,0.682
702065360707543040,0.312
25244687,0.524
1213431034336821248,0.34
1023370679565991936,0.284
960619339,0.954
536174327,0.816
2650326937,0.726
2459630112,0.838
2942744461,0.128
1201364151928545282,0.1
813532564698763264,0.784
178646032,0.428
705774277073772544,0.42
3178125462,0.148
830304781549830144,0.56
143885561,0.67
357365664,0.844
2811604393,0.436
895215113690648576,0.134
1043760896445534208,0.646
370876365,0.824
856500417827438592,0.698
3097103376,0.124
97235070,0.478
1182387243547160576,0.578
776187868079271936,0.83
1033666155314130944,0.902
1188898775571546112,0.098
892806138365870080,0.686
1157086897367158784,0.538
3057670197,0.476
3237862006,0.82
261040799,0.614
259102704,0.976
377744411,0.676
4721591598,0.066
483693673,0.08
2424864925,0.048
113753398,0.886
1207533049950298112,0.25
730056968237371398,0.772
752969529660215297,0.068
81538331,0.01
2533793130,0.79
818457361,0.356
330713577,0.822
2157630043,0.71
3572757192,0.878
1059174288685711362,0.174
1142480637594615811,0.238
498651107,0.518
623725230,0.894
723055853457141760,0.648
2823420524,0.188
2864811778,0.422
2745031045,0.984
954304335608885250,0.484
908702295050698752,0.76
344508502,0.43
1119436032225816578,0.146
553182138,0.442
254765039,0.972
1173903561647767553,0.112
383288228,0.39
735104892,0.394
2399404008,0.696
427738027,0.488
3301546834,0.992
898666915371077632,0.836
84685294,0.774
304608008,0.734
738101195156246528,0.3
85438354,0.464
2944770859,0.736
89276096,0.634
1121918009503653889,0.88
1029801997866856453,0.752
23172411,0.588
215200627,0.738
1108972772825300993,0.19
288710190,0.242
2190680828,0.674
1211032699458084865,0.884
1014556284757168128,0.338
2975147099,0.746
3227248307,0.398
794241100072394752,0.082
21547963,0.568
800138945510023168,0.114
1142077209521340416,0.732
338858381,0.86
3724128432,0.574
1057067431292678144,0.28
1060539477502742528,0.224
823430516,0.348
3478032913,0.054
3188166737,0.876
21235510,0.342
4070444532,0.48
362557096,0.758
1616236086,0.002
2261676848,0.848
953471147986763782,0.606
50755308,0.616
331496409,0.724
412847037,0.266
450947698,0.308
41950708,0.038
1274214691,0.214
880827632660750336,0.162
498307079,0.554
167673901,0.818
599369492,0.618
1150530910749646849,0.322
24462828,0.328
1317990020,0.644
826430165676855296,0.862
1146245889234616320,0.072
787999070,0.29
1416667274,0.514
554800305,0.602
830664757426262016,0.66
3195916596,0.21
1067411175808192512,0.09
56256823,0.688
155715522,0.704
561378568,0.172
781598851,0.712
869086917404405760,0.494
1179082065821585408,0.906
3352719201,0.474
767750977675943936,0.274
2359226549,0.89
729107639100039168,0.664
81019879,0.018
1140884510847823872,0.58
29684485,0.946
983891082,0.118
333812063,0.544
1017015843849465856,0.38
1191853877873610753,0.716
162407295,0.956
3832986579,0.294
1191813559656812546,0.6
316726321,0.076
1207602871,0.532
943163002710134784,0.164
4073914092,0.104
2316692353,0.44
2631106970,0.142
2788512505,0.73
168466173,0.69
3104293844,0.52
1926567488,0.7
428179606,0.934
104362621,0.77
404666265,0.35
2959262060,0.074
93609382,0.364
28082637,0.626
1691322312,0.982
355262903,0.362
1328823097,0.282
2926408346,0.852
3016063598,0.692
912100728344375296,0.454
1142404965471666181,0.272
949798171915382784,0.02
2362691082,0.564
361016539,0.572
232947342,0.336
744074427986378752,0.196
1109240029539381249,0.086
742049502291365888,0.812
1211583970682368000,0.092
1365814248,0.11
1109441086097899520,0.324
1213167037356208128,0.192
493058293,0.378
1062501228293382144,0.482
21442060,0.888
1206671350393442304,0.504
1081398220754845697,0.278
196692050,0.262
878178285670322176,0.598
1157698657879113728,0.202
2347719613,0.576
1007650376001249280,0.952
782064543488839680,0.166
1034974389635305472,0.13
1065174780008062978,0.2
1721618168,0.98
2509927488,0.102
2744612971,0.216
1262948118,0.108
74889010,0.622
842774524072550402,0.028
881198006,0.918
979739650494488576,0.22
359070341,0.296
998357903223422976,0.492
959806576193359872,0.318
4009036699,0.042
373822710,0.418
4441453337,0.706
4304944408,0.762
3026584497,0.31
1163819615589240832,0.584
765979848921718784,0.672
4086742209,0.75
1131646234278498304,0.084
3034874844,0.154
2169643945,0.61
1003811626494124032,0.126
1119315981602574337,0.528
740055668,0.91
796548654169473024,0.562
1069756503425515526,0.17
1002648481427701760,0.07
815412412904075264,0.448
1131072380380405763,0.04
886320494,0.768
80643046,0.988
294071256,0.566
2532505975,0.444
2291982943,0.662
1204058234111152128,0.062
1214444585734291457,0.32
492637069,0.512
1090531910101712896,0.558
1012729337278156807,0.024
637207617,0.868
293251605,0.15
1154848680303837184,0.208
3527296409,0.096
796488207420506116,0.27
2927530685,0.922
1169360494530039815,0.186
16107549,0.59
1010451276969021440,0.032
3750750857,0.432
1192844318370869248,0.23
145163404,0.666
1137055207,0.782
36493513,0.132
1081179133407830016,0.268
1042455521163264000,0.5
985649952876613632,0.178
731043210743664640,0.748
204297356,0.452
2863716447,0.122
14359184,0.912
948754724936810496,0.386
781142386034388993,0.046
1207685156083027968,0.834
859115506506354688,0.352
2369820763,0.194
732808054668992512,0.286
2714261710,0.628
468567501,0.516
1094464934417555456,0.034
1027361134213382144,0.368
983284067406893056,0.78
212945592,0.288
67246782,0.632
214760518,0.96
29927530,0.788
1682748128,0.846
410806769,0.916
3398657686,0.292
304375321,0.68
707753681173614592,0.302
21284329,0.434
56099512,0.974
2589207756,0.408
2154634333,0.228
378392907,0.316
139034717,0.908
1143493136645349378,0.26
257180365,0.896
20302207,0.804
1169299990826475521,0.458
2852841858,0.638
14828972,0.64
1141936437773737985,0.012
2354476857,0.236
58723709,0.874
500968897,0.376
310842490,0.374
1710912804,0.45
418815316,0.548
718788178220429312,0.468
473853863,0.46
720198321688735744,0.036
308321267,0.786
1012151788126912513,0.404
1901937674,0.708
103514506,0.742
227184125,0.604
898154408453836801,0.326
4854510141,0.926
2733971311,0.858
324775326,0.246
717948664627331072,0.826
2463451704,0.16
151543415,0.9
3147072360,0.14
857699595954122752,0.536
2879999342,0.828
2368450104,0.388
809191440853045251,0.854
39649532,0.796
2426547935,0.37
54400556,0.898
17013535,0.794
296955904,0.222
1015402261,0.344
999679349933699077,0.346
4711231769,0.244
3277533739,0.008
26884555,0.596
2596628115,0.456
1549486034,0.928
952477395793068032,0.058
285958007,0.778
55496951,0.54
1185901088458842112,0.004
4701966162,0.12
1276597201,0.158
1162013739723284481,0.052
440001669,0.8
707524622606934016,0.864
3393673162,0.718
2288839864,0.938
1063054237951643650,0.078
215915336,0.522
1054640064,0.358
1619458321,0.264
586727464,0.218
32808681,0.932
4850824060,0.256
289813161,0.49
945662959375626240,0.552
601348251,0.496
971314926,0.914
3289664592,0.866
2811521279,0.088
982533372151910400,0.006
1063437962032033794,0.05
2366483039,0.022
44579979,0.968
1101692357894844416,0.056
769122038946627584,0.97
179605831,0.684
9154712,0.592
17638368,0.958
17036693,0.55
257725516,0.06
2996527219,0.948
33921602,0.414
830618077893160962,0.472
